sample_id,record_id,condition,run_id,overall_score,contradiction_flag,error_label
H0405,C2_P05_r3_S2_t2,C2,3,2.25,1,self_contradiction
H0406,C4_P06_r2_S5_t1,C4,2,4.75,0,none
H0407,C3_P04_r2_S3_t2,C3,2,2.5,1,constraint_violation
H0408,C1_P01_r2_S3_t2,C1,2,2.5,1,style_drift
H0409,C3_P05_r1_S4_t1,C3,1,5.0,0,none
H0410,C2_P06_r3_S1_t2,C2,3,2.75,1,domain_drift
H0411,C4_P01_r1_S2_t1,C4,1,5.0,0,none
H0412,C2_P05_r1_S5_t1,C2,1,3.0,1,constraint_violation
H0413,C1_P04_r3_S3_t2,C1,3,2.75,1,constraint_violation
H0414,C4_P05_r3_S3_t4,C4,3,5.0,0,none
H0415,C3_P06_r1_S5_t2,C3,1,5.0,0,none
H0416,B0_P06_r1_S5_t2,B0,1,2.0,1,role_breaking
H0417,C2_P05_r3_S2_t3,C2,3,5.0,0,none
H0418,C2_P03_r1_S1_t1,C2,1,5.0,0,none
H0419,C4_P01_r2_S4_t3,C4,2,5.0,0,none
H0420,B0_P06_r1_S4_t2,B0,1,2.75,1,role_breaking
H0421,C1_P04_r2_S5_t3,C1,2,3.25,1,domain_drift
H0422,C2_P04_r1_S5_t3,C2,1,2.75,1,domain_drift
H0423,C1_P03_r1_S1_t2,C1,1,3.0,1,domain_drift
H0424,C2_P05_r3_S5_t3,C2,3,2.75,1,domain_drift
H0425,C1_P01_r3_S5_t4,C1,3,2.75,1,constraint_violation
H0426,C4_P02_r3_S1_t4,C4,3,5.0,0,none
H0427,B0_P06_r3_S2_t1,B0,3,2.75,1,constraint_violation
H0428,C4_P01_r1_S5_t1,C4,1,5.0,0,none
H0429,B0_P06_r3_S5_t1,B0,3,3.0,1,style_drift
H0430,C1_P06_r1_S4_t1,C1,1,5.0,0,none
H0431,B0_P05_r1_S4_t2,B0,1,2.0,1,role_breaking
H0432,C1_P04_r2_S5_t1,C1,2,2.75,1,memory_failure
H0433,C1_P02_r1_S3_t2,C1,1,2.75,1,constraint_violation
H0434,B0_P05_r3_S3_t4,B0,3,2.25,1,role_breaking
H0435,C1_P06_r1_S5_t3,C1,1,2.75,1,constraint_violation
H0436,B0_P05_r2_S4_t3,B0,2,2.5,1,role_breaking
H0437,C4_P05_r1_S1_t1,C4,1,5.0,0,none
H0438,C2_P03_r1_S2_t1,C2,1,5.0,0,none
H0439,B0_P01_r1_S2_t2,B0,1,1.25,1,role_breaking
H0440,B0_P01_r3_S3_t3,B0,3,2.75,1,constraint_violation
H0441,C3_P05_r3_S5_t1,C3,3,5.0,0,none
H0442,C4_P04_r1_S1_t4,C4,1,2.25,1,memory_failure
H0443,C4_P05_r3_S1_t4,C4,3,5.0,0,none
H0444,C3_P02_r3_S4_t4,C3,3,5.0,0,none
H0445,C1_P06_r2_S3_t2,C1,2,2.5,1,constraint_violation
H0446,C1_P03_r1_S2_t2,C1,1,2.5,1,memory_failure
H0447,C1_P02_r3_S5_t3,C1,3,2.75,1,constraint_violation
H0448,C1_P01_r1_S3_t4,C1,1,2.75,1,style_drift
H0449,C4_P06_r1_S4_t1,C4,1,5.0,0,none
H0450,C3_P01_r3_S4_t4,C3,3,5.0,0,none
H0451,C1_P06_r2_S5_t3,C1,2,2.75,1,constraint_violation
H0452,C3_P03_r3_S4_t4,C3,3,5.0,0,none
H0453,C3_P05_r1_S5_t1,C3,1,5.0,0,none
H0454,C3_P02_r3_S4_t2,C3,3,5.0,0,none
H0455,C1_P06_r2_S3_t4,C1,2,3.25,1,style_drift
H0456,C2_P06_r3_S5_t1,C2,3,3.5,1,constraint_violation
H0457,C2_P01_r3_S3_t2,C2,3,2.5,1,constraint_violation
H0458,C2_P02_r3_S4_t4,C2,3,5.0,0,none
H0459,C1_P03_r3_S5_t3,C1,3,2.0,1,role_breaking
H0460,C2_P06_r2_S5_t4,C2,2,2.5,1,style_drift
H0461,C2_P03_r1_S3_t2,C2,1,2.5,1,style_drift
H0462,C1_P02_r2_S3_t4,C1,2,2.75,1,style_drift
H0463,C2_P02_r3_S5_t3,C2,3,2.75,1,constraint_violation
H0464,B0_P04_r1_S5_t1,B0,1,2.5,1,self_contradiction
H0465,C3_P02_r1_S5_t1,C3,1,5.0,0,none
H0466,C2_P04_r1_S4_t3,C2,1,5.0,0,none
H0467,C1_P06_r1_S3_t2,C1,1,2.5,1,constraint_violation
H0468,C4_P04_r3_S4_t4,C4,3,5.0,0,none
H0469,C4_P05_r3_S4_t4,C4,3,5.0,0,none
H0470,C1_P05_r1_S5_t3,C1,1,2.0,1,role_breaking
H0471,C2_P06_r2_S3_t2,C2,2,2.5,1,constraint_violation
H0472,B0_P03_r3_S4_t4,B0,3,2.25,1,role_breaking
H0473,C2_P02_r3_S2_t4,C2,3,5.0,0,none
H0474,C1_P03_r1_S3_t2,C1,1,2.5,1,style_drift
H0475,B0_P03_r2_S4_t2,B0,2,2.0,1,role_breaking
H0476,C1_P01_r1_S4_t1,C1,1,5.0,0,none
H0477,B0_P02_r3_S2_t1,B0,3,1.0,1,constraint_violation
H0478,C1_P02_r2_S1_t2,C1,2,2.75,1,domain_drift
H0479,B0_P01_r3_S5_t4,B0,3,3.0,1,role_breaking
H0480,C3_P04_r1_S5_t4,C3,1,5.0,0,none
H0481,C2_P06_r3_S5_t3,C2,3,2.75,1,constraint_violation
H0482,C4_P02_r2_S4_t2,C4,2,5.0,0,none
H0483,C4_P06_r3_S5_t4,C4,3,5.0,0,none
H0484,C4_P02_r1_S3_t2,C4,1,2.75,1,constraint_violation
H0485,C2_P04_r3_S4_t4,C2,3,5.0,0,none
H0486,B0_P06_r1_S1_t4,B0,1,2.75,1,role_breaking
H0487,C1_P02_r1_S3_t4,C1,1,2.5,1,style_drift
H0488,C1_P04_r1_S2_t3,C1,1,3.25,1,constraint_violation
H0489,B0_P05_r1_S5_t2,B0,1,2.75,1,constraint_violation
H0490,C1_P04_r1_S1_t2,C1,1,4.0,0,context_confusion
H0491,B0_P02_r3_S1_t1,B0,3,3.25,1,style_drift
H0492,C2_P06_r3_S4_t4,C2,3,5.0,0,none
H0493,C3_P04_r3_S5_t4,C3,3,5.0,0,none
H0494,C1_P05_r2_S5_t4,C1,2,2.75,1,style_drift
H0495,C4_P05_r1_S2_t1,C4,1,5.0,0,none
H0496,C1_P01_r2_S2_t1,C1,2,5.0,0,none
H0497,C2_P01_r2_S5_t3,C2,2,2.75,1,style_drift
H0498,C2_P03_r1_S4_t4,C2,1,5.0,0,none
H0499,B0_P03_r1_S5_t1,B0,1,1.25,1,role_breaking
H0500,C4_P04_r1_S3_t1,C4,1,5.0,0,none
H0501,C1_P05_r1_S3_t2,C1,1,2.5,1,constraint_violation
H0502,C2_P03_r3_S3_t2,C2,3,2.5,1,style_drift
H0503,C1_P02_r1_S1_t1,C1,1,3.25,1,style_drift
H0504,C1_P02_r1_S3_t1,C1,1,3.0,1,style_drift
H0505,B0_P02_r1_S4_t1,B0,1,2.0,1,constraint_violation
H0506,C3_P06_r2_S5_t1,C3,2,4.5,0,none
H0507,C4_P03_r2_S2_t2,C4,2,2.25,1,self_contradiction
H0508,B0_P03_r1_S1_t4,B0,1,3.0,1,role_breaking
H0509,C2_P05_r2_S1_t1,C2,2,3.25,1,style_drift
H0510,B0_P03_r2_S2_t4,B0,2,2.25,1,role_breaking
H0511,C1_P02_r3_S4_t4,C1,3,5.0,0,none
H0512,C1_P06_r1_S3_t3,C1,1,4.5,1,constraint_violation
H0513,C2_P01_r3_S5_t3,C2,3,2.75,1,style_drift
